,gibbs,gibbs,gibbs,gibbs,gibbs,gibbs,gibbs,gibbs,gibbs,mh_uniform,mh_uniform,mh_uniform,mh_uniform,mh_uniform,mh_uniform,mh_uniform,mh_uniform,mh_uniform,mh_prior,mh_prior,mh_prior,mh_prior,mh_prior,mh_prior,mh_prior,mh_prior,mh_prior
,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3
,2,3,4,5,6,7,8,9,5,2,3,4,5,6,7,8,9,5,2,3,4,5,6,7,8,9,5
0,0.5925340442488435,0.7459190434994143,0.8211803521154791,0.8252230555497336,0.8813950672838544,0.9026090884165829,0.9067715210994035,0.9238189832744638,0.9212825337734658,0.7039613869169383,0.4671559840476444,0.8131115542826626,0.8954548524899236,0.9319809597320414,0.8932687534919818,0.921258143299484,0.9301894282739671,0.9939720156008488,0.4847643952836313,0.5245242920990967,0.622948582692381,0.7245323029845403,0.7109226403771394,0.8269883242707419,0.8550689765900163,0.9493494436474584,0.8903565110341468
1,0.5977946576885771,0.7189405386314419,0.8197724018147572,0.8639392693661306,0.8851050094873394,0.8899266114636856,0.9101267929174472,0.9264826713610896,0.9222149771830055,0.4293519791652423,0.6722171884970142,0.6399343610878342,0.8482510879137122,0.8721194142877856,0.900672146117243,0.8664375085942599,0.9646636766338655,0.9581759877290374,0.40870705545967795,0.6697974121079768,0.8105355724964345,0.8582822416937785,0.841648528964103,0.8548156746245072,0.8973993004491614,0.9301129824770723,0.8123018247981314
